28.48 Mbps,18.69 Mbps,35.87 Mbps,
28.92 Mbps,27.37 Mbps,32.46 Mbps,
33.48 Mbps,33.48 Mbps,33.48 Mbps,
24.8 Mbps,21.46 Mbps,27.71 Mbps,
24.89 Mbps,20.89 Mbps,26.24 Mbps,
24.8 Mbps,20.2 Mbps,28.13 Mbps,
27.86 Mbps,23.52 Mbps,37.97 Mbps,
48.84 Mbps,48.05 Mbps,49.87 Mbps,
48.0 Mbps,46.98 Mbps,50.05 Mbps,
52.91 Mbps,44.86 Mbps,63.14 Mbps,
19.64 Mbps,16.61 Mbps,20.96 Mbps,
47.07 Mbps,44.48 Mbps,48.81 Mbps,
46.53 Mbps,39.07 Mbps,52.61 Mbps,
46.03 Mbps,44.2 Mbps,47.41 Mbps,
46.02 Mbps,43.71 Mbps,48.33 Mbps,
47.32 Mbps,39.91 Mbps,51.12 Mbps,
47.63 Mbps,44.53 Mbps,50.11 Mbps,
47.53 Mbps,43.37 Mbps,49.68 Mbps,
47.62 Mbps,42.88 Mbps,51.2 Mbps,
62.81 Mbps,62.05 Mbps,64.71 Mbps,
37.22 Mbps,34.29 Mbps,39.17 Mbps,
35.96 Mbps,23.52 Mbps,58.47 Mbps,
28.12 Mbps,23.01 Mbps,38.32 Mbps,
37.63 Mbps,35.66 Mbps,43.59 Mbps,
24.9 Mbps,22.67 Mbps,27.8 Mbps,
37.3 Mbps,32.78 Mbps,40.83 Mbps,
49.55 Mbps,45.93 Mbps,52.99 Mbps,
48.2 Mbps,41.48 Mbps,51.64 Mbps,
39.63 Mbps,35.35 Mbps,43.17 Mbps,
9.08 Mbps,8.16 Mbps,9.96 Mbps,
5.3 Mbps,4.67 Mbps,5.94 Mbps,
9.26 Mbps,8.5 Mbps,10.56 Mbps,
12.98 Mbps,8.48 Mbps,15.86 Mbps,
11.08 Mbps,9.3 Mbps,13.2 Mbps,
11.41 Mbps,7.06 Mbps,24.32 Mbps,
11.63 Mbps,9.12 Mbps,14.23 Mbps,
24.89 Mbps,22.69 Mbps,25.93 Mbps,
33.69 Mbps,23.13 Mbps,40.15 Mbps,
47.38 Mbps,38.07 Mbps,52.22 Mbps,
46.87 Mbps,36.74 Mbps,56.24 Mbps,
42.87 Mbps,31.92 Mbps,58.96 Mbps,
45.45 Mbps,39.87 Mbps,55.41 Mbps,
46.69 Mbps,39.26 Mbps,55.16 Mbps,
47.4 Mbps,43.25 Mbps,53.44 Mbps,
43.47 Mbps,29.13 Mbps,51.57 Mbps,
13.43 Mbps,11.1 Mbps,14.92 Mbps,
24.86 Mbps,11.76 Mbps,30.74 Mbps,
13.2 Mbps,10.87 Mbps,13.88 Mbps,
49.71 Mbps,45.24 Mbps,53.77 Mbps,
13.81 Mbps,12.07 Mbps,15.13 Mbps,
37.58 Mbps,7.02 Mbps,53.71 Mbps,
24.89 Mbps,22.94 Mbps,25.68 Mbps,
24.97 Mbps,23.77 Mbps,26.09 Mbps,
24.91 Mbps,22.67 Mbps,26.39 Mbps,
25.56 Mbps,22.49 Mbps,28.86 Mbps,
24.74 Mbps,23.28 Mbps,25.97 Mbps,
24.86 Mbps,21.58 Mbps,26.1 Mbps,
24.63 Mbps,22.73 Mbps,25.31 Mbps,
24.68 Mbps,22.62 Mbps,25.36 Mbps,
24.69 Mbps,23.17 Mbps,25.03 Mbps,
37.35 Mbps,36.58 Mbps,38.21 Mbps,
28.76 Mbps,23.91 Mbps,30.18 Mbps,
18.2 Mbps,15.63 Mbps,19.51 Mbps,
33.95 Mbps,26.71 Mbps,39.22 Mbps,
26.17 Mbps,19.57 Mbps,30.62 Mbps,
25.65 Mbps,24.91 Mbps,26.14 Mbps,
49.65 Mbps,42.48 Mbps,56.3 Mbps,
26.89 Mbps,25.98 Mbps,27.83 Mbps,
30.61 Mbps,28.67 Mbps,31.57 Mbps,
31.33 Mbps,30.44 Mbps,32.0 Mbps,
24.3 Mbps,18.6 Mbps,28.97 Mbps,
24.75 Mbps,21.12 Mbps,26.15 Mbps,
5.1 Mbps,4.25 Mbps,5.31 Mbps,
24.82 Mbps,22.3 Mbps,26.83 Mbps,
24.97 Mbps,21.98 Mbps,29.92 Mbps,
24.91 Mbps,23.89 Mbps,26.21 Mbps,
37.29 Mbps,36.17 Mbps,38.27 Mbps,
28.19 Mbps,22.96 Mbps,30.98 Mbps,
21.65 Mbps,19.75 Mbps,26.82 Mbps,
81.04 Mbps,78.81 Mbps,85.67 Mbps,
31.15 Mbps,29.3 Mbps,38.9 Mbps,
36.33 Mbps,28.97 Mbps,38.05 Mbps,
16.49 Mbps,15.06 Mbps,18.43 Mbps,
22.48 Mbps,20.36 Mbps,24.72 Mbps,
25.09 Mbps,23.63 Mbps,26.65 Mbps,
28.65 Mbps,25.53 Mbps,31.0 Mbps,
31.2 Mbps,26.34 Mbps,34.38 Mbps,
31.47 Mbps,28.49 Mbps,33.16 Mbps,
28.35 Mbps,23.41 Mbps,29.69 Mbps,
32.19 Mbps,25.77 Mbps,35.02 Mbps,
31.14 Mbps,23.4 Mbps,32.87 Mbps,
24.78 Mbps,21.93 Mbps,25.88 Mbps,
24.62 Mbps,21.36 Mbps,26.17 Mbps,
21.74 Mbps,15.34 Mbps,28.54 Mbps,
24.96 Mbps,19.96 Mbps,29.26 Mbps,
22.1 Mbps,13.4 Mbps,31.99 Mbps,
20.12 Mbps,14.48 Mbps,28.17 Mbps,
24.1 Mbps,18.92 Mbps,30.87 Mbps,
24.11 Mbps,20.58 Mbps,27.79 Mbps,
133.63 Mbps,133.63 Mbps,133.63 Mbps,
43.79 Mbps,21.56 Mbps,65.7 Mbps,
206.19 Mbps,196.53 Mbps,213.88 Mbps,
25.08 Mbps,20.06 Mbps,28.5 Mbps,
48.65 Mbps,28.36 Mbps,84.41 Mbps,
199.27 Mbps,179.85 Mbps,210.75 Mbps,
200.35 Mbps,188.37 Mbps,209.99 Mbps,
49.93 Mbps,36.57 Mbps,70.12 Mbps,
51.02 Mbps,37.0 Mbps,64.23 Mbps,
49.93 Mbps,28.07 Mbps,74.44 Mbps,
48.38 Mbps,36.28 Mbps,61.41 Mbps,
49.39 Mbps,33.94 Mbps,72.67 Mbps,
24.61 Mbps,12.74 Mbps,44.69 Mbps,
21.74 Mbps,11.68 Mbps,35.61 Mbps,
24.49 Mbps,12.22 Mbps,41.68 Mbps,
23.14 Mbps,12.33 Mbps,45.65 Mbps,
20.59 Mbps,15.16 Mbps,27.01 Mbps,
24.53 Mbps,14.86 Mbps,43.3 Mbps,
24.54 Mbps,21.4 Mbps,25.9 Mbps,
16.82 Mbps,14.37 Mbps,18.19 Mbps,
24.48 Mbps,21.33 Mbps,25.81 Mbps,
24.83 Mbps,20.14 Mbps,28.74 Mbps,
24.81 Mbps,22.19 Mbps,27.82 Mbps,
24.55 Mbps,21.57 Mbps,25.69 Mbps,
